source,spectral_type_string,2MASS.H,2MASS.J,2MASS.Ks,ACAM.i,ACAM.z,Cousins.I,Cousins.R,DENIS.I,DENIS.J,DENIS.Ks,GAIA2.G,GAIA2.Grp,GAIA3.G,GAIA3.Grp,GALEX.NUV,IRAC.I1,IRAC.I2,IRAC.I3,IRAC.I4,JWST/MIRI.F1000W,JWST/MIRI.F1280W,JWST/MIRI.F1500W,JWST/MIRI.F1800W,JWST/MIRI.F2100W,Johnson.V,MIPS.24mu,NACO.Lp,NICMOS1.F090M,NICMOS1.F110W,NIRI.Y,NSFCam.H,NSFCam.J,NSFCam.K,NSFCam.Lp,NSFCam.Mp,PAN-STARRS/PS1.g,PAN-STARRS/PS1.i,PAN-STARRS/PS1.r,PAN-STARRS/PS1.y,PAN-STARRS/PS1.z,SDSS.g,SDSS.i,SDSS.r,SDSS.u,SDSS.z,UFTI.H,UFTI.J,UFTI.K,UFTI.Y,UKIDSS.H,UKIDSS.J,UKIDSS.K,UKIDSS.Y,VISTA.H,VISTA.J,VISTA.Ks,VISTA.Y,VisAO.Ys,WFCAM.H,WFCAM.J,WFCAM.K,WFCAM.Y,WISE.W1,WISE.W2,WISE.W3,WISE.W4,Wircam.Y
2MASS J00345157+0523050,T6.5,15.443,15.535,,,,,,,,,,,,,,14.1,12.58,13.13,12.41,,,,,,,,,,,,,,,,,,,,18.1,19.98,,,,,,,,,,,,,,,,,,,15.576,15.14,16.073,16.213,15.061,12.52,11.302,8.807,
2MASS J00345684-0706013,L3,14.566,15.531,13.942,,,,,,,,20.83614730834961,19.13399887084961,20.78310775756836,19.197593688964844,,,,,,,,,,,,,,,,,,,,,,,20.43,,17.79,18.8,,,,,,,,,,,,,,,,,,,14.646,15.463,13.922,16.737,13.276,12.914,11.745,9.079,
2MASS J00345684-0706013,L4.3,14.566,15.531,13.942,,,,,,,,20.83614730834961,19.13399887084961,20.78310775756836,19.197593688964844,,,,,,,,,,,,,,,,,,,,,,,20.43,,17.79,18.8,,,,,,,,,,,,,,,,,,,14.646,15.463,13.922,16.737,13.276,12.914,11.745,9.079,
2MASS J00361617+1821104,L3.5,11.588,12.466,11.058,,,15.92,18.32,,,,17.518634796142578,15.868955612182617,17.52113151550293,15.909051895141602,,10.19,10.24,10.1,10.06,,,,,,21.43,,,,,,,,,10.08,,22.21,17.19,19.51,14.54,15.58,22.52455,17.17989,19.69098,24.68838,15.21735,11.64,12.3,11.04,,,,,,,,,,,11.64,12.3,11.04,13.58,10.536,10.245,9.851,8.169,
2MASS J00361617+1821104,L4:,11.588,12.466,11.058,,,15.92,18.32,,,,17.518634796142578,15.868955612182617,17.52113151550293,15.909051895141602,,10.19,10.24,10.1,10.06,,,,,,21.43,,,,,,,,,10.08,,22.21,17.19,19.51,14.54,15.58,22.52455,17.17989,19.69098,24.68838,15.21735,11.64,12.3,11.04,,,,,,,,,,,11.64,12.3,11.04,13.58,10.536,10.245,9.851,8.169,
2MASS J00374306-5846229,L0 gamma,14.26,15.37,13.59,,,,,,,,20.53139305114746,18.782899856567383,20.484115600585938,18.90524673461914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.127,12.763,12.479,,
2MASS J00452143+1634446,L2 beta,12.059,13.059,11.366,,,,,,,,18.168359756469727,16.540355682373047,18.16788673400879,16.567296981811523,,10.55,10.38,,,,,,,,,,,,,,,,,,,,17.75,20.08,15.24,16.25,23.96664,17.77482,20.26694,24.26569,15.78782,,,,,,,,,,,,,,12.119,12.926,11.327,,10.768,10.393,9.735,8.424,
2MASS J00452143+1634446,L2: VL-G,12.059,13.059,11.366,,,,,,,,18.168359756469727,16.540355682373047,18.16788673400879,16.567296981811523,,10.55,10.38,,,,,,,,,,,,,,,,,,,,17.75,20.08,15.24,16.25,23.96664,17.77482,20.26694,24.26569,15.78782,,,,,,,,,,,,,,12.119,12.926,11.327,,10.768,10.393,9.735,8.424,
2MASS J00464841+0715177,L0.9 VL-G,13.178,13.885,12.546,,,,,,,,18.882761001586914,17.201801300048828,18.872638702392578,17.251466751098633,,,,,,,,,,,,,,,,,,,,,,,18.51,21.04,15.89,16.9,23.54766,18.48431,21.08471,23.88386,16.53452,,,,,,,,,,,,,,13.166,13.817,12.508,14.856,12.07,11.638,11.139,9.024,
2MASS J00470038+6803543,L5.5,13.968,15.604,13.053,,,,,,,,,,,,,11.47,,,,,,,,,,,,,,,,,,,,,21.16,,18.03,19.02,,,,,18.72,,,,,,,,,,,,,,14.042,15.485,13.008,16.799,11.768,11.242,10.14,8.42,
