source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
DENIS-P J090957.1-065806,L0:,70.0,13.09,13.89,12.539,12.237,11.989
DENIS-P J104731.1-181558,L0: FLD-G,70.0,13.423,14.199,12.891,12.589,12.368
DENIS-P J104731.1-181558,L2.5,72.5,13.423,14.199,12.891,12.589,12.368
DENIS-P J1048278-525418,L0.5,70.5,13.21,14.02,12.666,12.206,12.025
DENIS-P J1048278-525418,L1.5:,71.5,13.21,14.02,12.666,12.206,12.025
DENIS-P J1157480-484442,L0.5:,70.5,13.33,14.01,12.793,12.484,12.237
DENIS-P J1253108-570924,L0.5:,70.5,12.666,13.454,12.051,11.641,11.396
DENIS-P J144137.2-094558,L0.5,70.5,13.19,14.02,12.661,12.322,12.079
DENIS-P J144137.2-094558,L1: FLD-G,71.0,13.19,14.02,12.661,12.322,12.079
DENIS-P J1454078-660447,L3.5:,73.5,12.168,13.059,11.721,11.218,10.833
DENIS-P J1733423-165449,L0.5:,70.5,12.805,13.528,12.35,11.882,11.679
DENIS-P J1733423-165449,L0.9,70.9,12.805,13.528,12.35,11.882,11.679
DENIS-P J1756561-480509,L0:,70.0,12.709,13.409,12.19,11.874,11.635
DENIS-P J1909081-193748,L1:,71.0,13.543,14.52,12.915,12.466,12.18
DENIS-P J2146.1-2153,L0,70.0,13.282,13.63,13.313,14.102,13.837
EQ J0150+3827,T0,80.0,15.018,16.111,14.477,13.746,13.165
EQ J1122+2550,T6,86.0,16.64,16.376,16.55,16.268,14.107
EQ J2239+1617,T3,83.0,15.416,16.079,15.36,14.717,13.534
GJ 618.1B,L2.4,72.4,14.348,15.283,13.598,,
GJ 618.1B,L2.5,72.5,14.348,15.283,13.598,,
HD 44627B,L0: VL-G,70.0,14.63,16.12,14.08,,
HIP 26653B,L1.5,71.5,13.91,14.756,13.322,,
HIP 38939B,T4.5,84.5,15.796,16.124,,15.774,13.863
HIP 73169B,L2.5,72.5,15.047,16.007,14.36,13.964,13.698
HIP 9269B,L6,76.0,14.99,15.956,14.317,,
LSPM J0241+2553B,L1,71.0,16.028,17.027,15.331,15.035,14.809
NLTT 31450B,L6,76.0,15.048,16.135,14.331,13.781,13.47
NLTT 44368B,L1.5,71.5,13.907,14.736,13.467,13.408,13.14
PSO J004.7818+41.0231,L0.1: FLD-G,70.1,13.489,14.15,13.077,12.733,12.477
PSO J007.9194+33.5961,L9,79.0,15.43,16.45,14.49,13.682,13.268
PSO J023.8557+02.0884,L9.5,79.5,15.481,16.622,15.123,14.333,13.907
PSO J048.9806+07.5414,L6: (blue),76.0,15.83,17.02,15.43,14.848,14.491
PSO J049.1124+17.0885,L9.5,79.5,16.39,16.96,15.75,15.206,14.731
PSO J049.1159+26.8409,T2.5,82.5,15.592,16.585,15.5,14.984,13.928
PSO J052.2746+13.3754,T3.5,83.5,15.837,16.479,15.606,15.386,14.302
PSO J052.7214-03.8409,L9:,79.0,15.16,16.47,14.71,13.671,13.035
PSO J054.8149-11.7792,L3:,73.0,15.83,16.79,15.06,14.44,14.074
PSO J069.7303+04.3834,T2,82.0,15.812,16.436,14.9,14.26,13.617
PSO J071.4708+36.4930,L6:,76.0,15.78,16.83,15.03,14.189,13.762
PSO J087.7749-12.6537,L8,78.0,15.69,16.63,14.71,13.825,13.46
PSO J088.0452+43.2123,L4 pec,74.0,15.48,16.37,14.87,14.164,13.779
PSO J103.0927+41.4601,T0,80.0,14.46,15.48,13.89,13.138,12.47
PSO J108.4590+38.2086,L7,77.0,15.72,16.92,14.92,13.973,13.491
PSO J133.8016-02.5658,T0 pec,80.0,15.31,16.1,14.96,14.157,13.632
PSO J135.0395+32.0845,L1.5 FLD-G,71.5,15.1,15.84,14.5,,
PSO J135.7840+16.9932,T0 pec,80.0,15.78,16.49,15.48,14.511,13.99
PSO J136.5494-06.1944,L2 pec FLD-G,72.0,14.13,14.82,13.66,13.265,12.859
PSO J143.6774-29.8356,L1,71.0,16.05,16.41,15.21,14.907,14.636
PSO J146.0144+05.1319,L1 FLD-G,71.0,15.984,16.807,15.634,15.139,14.917
PSO J147.5092-27.6337,L0.5,70.5,16.22,16.89,15.46,15.335,15.008
PSO J149.0341-14.7857,L9,79.0,15.059,16.276,14.219,13.551,12.821
PSO J149.1907-19.1730,L5 pec,75.0,14.323,15.208,13.853,13.246,12.944
PSO J152.2977+15.9912,L1.5,71.5,15.575,16.885,15.447,15.07,14.716
PSO J159.0433-27.6357,L2,72.0,15.31,15.92,14.62,14.415,14.121
PSO J159.2399-26.3885,T1.5,81.5,16.01,16.81,15.3,14.651,14.016
PSO J160.0416-21.3281,T2 pec,82.0,16.06,16.58,15.47,14.956,14.235
PSO J167.1132+08.6331,L8,78.0,15.5,16.581,15.033,14.167,13.729
PSO J175.2003+16.1403,L5,75.0,16.135,16.864,15.228,14.571,14.281
PSO J180.1475-28.6160,T0,80.0,15.066,15.981,14.678,14.402,13.779
PSO J182.6569-26.6197,L2,72.0,15.73,16.48,15.2,14.796,14.512
PSO J183.9318-09.7914,L0,70.0,15.45,16.33,14.85,14.445,14.144
PSO J201.0320+19.1072,T3.5,83.5,15.467,15.769,15.415,15.067,13.838
PSO J207.7496+29.4240,T0: pec,80.0,15.79,16.968,15.413,14.467,13.829
PSO J218.5616-27.8952,L6,76.0,15.6,16.58,14.83,14.043,13.744
PSO J226.2599-28.8959,T1.5,81.5,15.238,15.832,15.056,14.088,13.327
PSO J246.4222+15.4698,T4.5,84.5,16.91,16.772,17.14,16.489,14.745
PSO J258.2413+06.7612,T0 pec,80.0,15.34,16.161,14.78,14.096,13.553
PSO J260.3363+46.6739,L9,79.0,15.83,16.859,15.23,14.422,13.913
PSO J276.8234+22.4380,L9,79.0,15.58,16.91,14.87,13.956,13.425
PSO J280.2973+63.2600,L9.5,79.5,15.34,16.13,14.83,14.134,13.536
PSO J282.5878+34.7691,L1,71.0,16.26,17.25,15.4,,
PSO J291.2688+68.5310,T1,81.0,16.11,16.61,15.49,15.053,14.465
PSO J306.0126+16.7969,L2.3: INT-G?,72.3,14.559,15.577,13.977,13.282,12.98
PSO J316.5156+04.1173,L6 (blue) FLD-G,76.0,16.02,16.81,15.59,14.771,14.444
PSO J321.1619+18.8243,L9,79.0,15.89,17.03,15.36,14.675,13.977
PSO J330.3214+32.3686,T2.5,82.5,15.44,16.35,15.34,14.673,13.672
PSO J331.9397-07.0570,L7,77.0,15.96,17.41,15.66,14.555,14.071
PSO J334.2624+28.9438,L3.5: INT-G,73.5,15.898,16.839,15.078,14.316,13.906
