source,spectral_type_string,spectral_type_code,J,H,Ks,W1,W2,JH,HK,JK,W1W2,KW1,KW2
PSO J175.2003+16.1403,L5,75.0,16.864,16.135,15.228,14.571,14.281,0.7289999999999992,0.9070000000000018,1.636000000000001,0.28999999999999915,0.657,0.9469999999999992
PSO J175.8169-20.4072,T2,82.0,,,,15.578,14.671,,,,0.907,,
PSO J180.1475-28.6160,T0,80.0,15.981,15.066,14.678,14.402,13.779,0.9149999999999991,0.3879999999999999,1.302999999999999,0.6229999999999993,0.2760000000000016,0.8990000000000009
PSO J182.6569-26.6197,L2,72.0,16.48,15.73,15.2,14.796,14.512,0.75,0.5300000000000011,1.2800000000000011,0.2839999999999989,0.4039999999999999,0.6879999999999988
PSO J183.4547+40.7901,T4,84.0,,,,16.498,15.285,,,,1.213000000000001,,
PSO J183.9318-09.7914,L0,70.0,16.33,15.45,14.85,14.445,14.144,0.879999999999999,0.5999999999999996,1.4799999999999986,0.30100000000000016,0.40499999999999936,0.7059999999999995
PSO J192.6717-21.8250,T2.5,82.5,,,,15.731,14.721,,,,1.0099999999999998,,
PSO J201.0320+19.1072,T3.5,83.5,15.769,15.467,15.415,15.067,13.838,0.3019999999999996,0.05200000000000138,0.354000000000001,1.229000000000001,0.347999999999999,1.577
PSO J202.1635-03.7660,T4.5,84.5,,,,15.774,14.527,,,,1.2469999999999999,,
PSO J207.7496+29.4240,T0: pec,80.0,16.968,15.79,15.413,14.467,13.829,1.1780000000000008,0.3769999999999989,1.5549999999999997,0.6379999999999999,0.9459999999999997,1.5839999999999996
PSO J218.4532+50.7231,T2.5,82.5,,,,15.847,14.822,,,,1.0250000000000004,,
PSO J218.5616-27.8952,L6,76.0,16.58,15.6,14.83,14.043,13.744,0.9799999999999986,0.7699999999999996,1.7499999999999982,0.2989999999999995,0.7870000000000008,1.0860000000000003
PSO J224.3820+47.4057,T7,87.0,,,,16.63,14.717,,,,1.9129999999999985,,
PSO J226.2599-28.8959,T1.5,81.5,15.832,15.238,15.056,14.088,13.327,0.5940000000000012,0.18200000000000038,0.7760000000000016,0.7609999999999992,0.968,1.7289999999999992
PSO J229.2354-26.6737,L0:,70.0,,,,14.685,14.449,,,,0.23600000000000065,,
PSO J231.7900-26.4494,L0: VL-G,70.0,,,,14.197,13.841,,,,0.35599999999999987,,
PSO J231.8943-29.0599,L0: VL-G,70.0,,,,13.863,13.526,,,,0.33699999999999974,,
PSO J239.7016-23.2664,L0: VL-G,70.0,,,,14.488,14.009,,,,0.4789999999999992,,
PSO J241.1376+39.0369,T2,82.0,,,,16.053,15.092,,,,0.9610000000000003,,
PSO J242.9129+02.4856,T1,81.0,,,,15.379,14.596,,,,0.7829999999999995,,
