source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
SDSS J084001.62+451752.4,L0,70.0,14.933,15.73,14.296,13.968,13.755
SDSS J084016.42+543002.1,L1,71.0,15.512,16.393,15.347,14.751,14.425
SDSS J084036.04+143424.3,L1,71.0,15.082,16.226,14.615,14.311,14.058
SDSS J084106.85+603506.3,L1.5,71.5,15.034,15.943,14.69,14.127,13.905
SDSS J084106.85+603506.3,L4,74.0,15.034,15.943,14.69,14.127,13.905
SDSS J084149.77+005844.6,L0,70.0,,,,15.224,14.98
SDSS J084307.95+314129.2,L2.5,72.5,15.221,15.992,14.646,13.958,13.668
SDSS J084307.95+314129.2,L3,73.0,15.221,15.992,14.646,13.958,13.668
SDSS J084333.28+102443.5,L1,71.0,14.085,14.866,13.671,13.167,12.911
SDSS J084333.28+102443.5,L2.7:,72.7,14.085,14.866,13.671,13.167,12.911
SDSS J084407.00+284702.1,L2,72.0,14.82,15.868,14.335,13.924,13.672
SDSS J084444.58+403620.0,L1,71.0,15.542,16.204,15.068,14.593,14.38
SDSS J084520.21+360551.4,L0,70.0,15.009,15.816,14.452,14.256,14.006
SDSS J084610.73+030837.5,L0,70.0,15.169,15.914,15.032,14.448,14.158
SDSS J084751.48+013811.0,L3.2,73.2,15.115,16.231,14.41,13.932,13.627
SDSS J084751.48+013811.0,L4,74.0,15.115,16.231,14.41,13.932,13.627
SDSS J084758.93+260723.9,L0,70.0,14.129,14.92,13.689,13.343,13.067
SDSS J084934.05+591622.9,L0,70.0,15.379,16.285,15.033,14.596,14.345
SDSS J085116.20+181730.0,L4.4 FLD-G,74.4,15.948,16.567,14.968,14.08,13.694
SDSS J085213.94+421921.3,L0,70.0,,,,14.112,13.847
SDSS J085214.41+094048.0,L0,70.0,15.361,16.079,14.906,14.544,14.222
SDSS J085234.90+472035.0,L9.5:,79.5,15.419,16.182,14.718,13.738,13.209
SDSS J085359.10+223335.8,L2,72.0,,,,14.472,14.291
SDSS J085602.05+124014.3,L0,70.0,14.674,15.452,14.275,13.932,13.729
SDSS J085805.47+221457.8,L1,71.0,14.42,15.231,13.836,13.559,13.316
SDSS J085834.42+325627.7,T1,81.0,15.382,16.453,14.756,14.095,13.631
SDSS J085836.98+271050.8,L0,70.0,14.229,15.047,13.664,13.153,12.905
SDSS J085836.98+271050.8,L0.0,70.0,14.229,15.047,13.664,13.153,12.905
SDSS J085858.92+180445.7,L2,72.0,15.757,16.346,15.141,,
SDSS J085959.78+292205.3,L0,70.0,14.953,15.796,14.616,14.31,14.102
SDSS J090023.68+253934.3,L6,76.0,15.413,16.427,14.658,14.252,14.009
